,Track,Job Role,TSC,Minimum Level
0,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Agile Coaching,Level 6
1,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Budgeting,Level 5
2,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Agility,Level 5
3,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Environment Analysis,Level 5
4,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Innovation,Level 5
5,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Needs Analysis,Level 5
6,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Performance Management,Level 5
7,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Process Re-engineering,Level 5
8,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Requirements Mapping,Level 5
9,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Risk Management,Level 5
10,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Change Management,Level 5
11,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Contract Management,Level 5
12,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Data Analytics,Level 5
13,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Data Visualisation,Level 5
14,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Design Thinking Practice,Level 5
15,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Emerging Technology Synthesis,Level 5
16,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Learning and Development,Level 6
17,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Manpower Planning,Level 5
18,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Networking,Level 5
19,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Organisational Analysis,Level 5
20,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Organisational Design,Level 5
21,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Partnership Management,Level 5
22,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,People and Performance Management,Level 5
23,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Portfolio Management,Level 5
24,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Process Improvement and Optimisation,Level 5
25,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Project Management,Level 6
26,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Solution Architecture,Level 5
27,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Stakeholder Management ,Level 5
28,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Strategy Implementation,Level 4
29,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Strategy Planning,Level 5
30,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Brand Management,Level 4
31,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Budgeting,Level 4
32,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Innovation,Level 4
33,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Needs Analysis,Level 4
34,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Performance Management,Level 3
35,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Requirements Mapping,Level 4
36,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Customer Experience Management,Level 3
37,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Design Thinking Practice,Level 3
38,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Market Research,Level 3
39,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Networking,Level 3
40,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Process Improvement and Optimisation,Level 4
41,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Product Management,Level 4
42,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Project Management,Level 4
43,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Stakeholder Management,Level 4
44,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Test Planning,Level 4
45,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,User Experience Design,Level 3
46,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,User Interface Design,Level 3
47,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,User Testing and Usability Testing,Level 4
48,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Agility,Level 4
49,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Environment Analysis,Level 4
50,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Innovation,Level 5
51,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Needs Analysis,Level 5
52,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Performance Management,Level 4
53,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Process Re-engineering,Level 5
54,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Requirements Mapping,Level 5
55,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Business Risk Management,Level 5
56,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Change Management,Level 5
57,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Data Visualisation,Level 5
58,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Design Thinking Practice,Level 4
59,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Emerging Technology Synthesis,Level 4
60,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Enterprise Architecture,Level 4
61,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,IT Strategy ,Level 4
62,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Networking,Level 4
63,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Organisational Analysis,Level 5
64,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Organisational Design,Level 4
65,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Partnership Management,Level 5
66,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Performance Management,Level 5
67,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Process Improvement and Optimisation,Level 5
68,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Project Feasibility Assessment,Level 4
69,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Project Management,Level 5
70,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Solution Architecture,Level 5
71,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Stakeholder Management ,Level 5
72,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Strategy Implementation,Level 4
73,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Strategy Planning,Level 4
74,Map_Top_5_CCS/1. Strategy and Governance/,Business Architect,Sustainability Management,Level 4
75,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Audit and Compliance,Level 3
76,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Budgeting,Level 3
77,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Business Performance Management,Level 3
78,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Business Risk Management,Level 3
79,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Data Analytics,Level 2
80,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,IT Governance,Level 4
81,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,IT Standards,Level 4
82,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Networking,Level 3
83,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Partnership Management,Level 3
84,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Process Improvement and Optimisation,Level 3
85,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Quality Standards,Level 4
86,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Stakeholder Management,Level 2
87,Map_Top_5_CCS/1. Strategy and Governance/,IT Auditor,Strategy Implementation,Level 3
88,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Agile Coaching,Level 5
89,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Budgeting,Level 4
90,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Agility,Level 4
91,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Environment Analysis,Level 4
92,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Innovation,Level 4
93,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Needs Analysis,Level 4
94,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Performance Management,Level 4
95,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Process Re-engineering,Level 4
96,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Requirements Mapping,Level 4
97,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Business Risk Management,Level 4
98,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Change Management,Level 4
99,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Contract Management,Level 4
100,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Data Analytics,Level 4
101,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Data Visualisation,Level 4
102,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Design Thinking Practice,Level 4
103,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Emerging Technology Synthesis,Level 4
104,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Learning and Development,Level 5
105,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Manpower Planning,Level 4
106,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Networking,Level 4
107,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Organisational Analysis,Level 4
108,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Organisational Design,Level 4
109,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Partnership Management,Level 4
110,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,People and Performance Management,Level 4
111,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Portfolio Management,Level 4
112,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Process Improvement and Optimisation,Level 4
113,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Project Management,Level 5
114,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Solution Architecture,Level 4
115,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Stakeholder Management ,Level 4
116,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Strategy Implementation,Level 4
117,Map_Top_5_CCS/1. Strategy and Governance/,Program Manager,Strategy Planning,Level 4
118,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Agile Software Development,Level 3
119,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Applications Development,Level 3
120,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Budgeting,Level 3
121,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Business Needs Analysis,Level 3
122,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Business Performance Management,Level 3
123,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Failure Analysis ,Level 3
124,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Networking,Level 3
125,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Partnership Management,Level 3
126,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Problem Management,Level 3
127,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Process Improvement and Optimisation,Level 3
128,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Process Validation ,Level 3
129,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Project Management ,Level 3
130,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Quality Engineering,Level 4
131,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Quality Standards,Level 4
132,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Software Design,Level 3
133,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Software Testing,Level 2
134,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Stakeholder Management,Level 2
135,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Strategy Implementation,Level 3
136,Map_Top_5_CCS/1. Strategy and Governance/,Quality Engineer,Test Planning,Level 2
137,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Environment Analysis,Level 3
138,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Innovation,Level 4
139,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Needs Analysis,Level 3
140,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Process Re-engineering,Level 4
141,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Requirements Mapping,Level 4
142,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Business Risk Management,Level 4
143,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Change Management,Level 4
144,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Data Visualisation,Level 4
145,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Data Strategy ,Level 4
146,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Design Thinking Practice,Level 3
147,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Emerging Technology Synthesis,Level 3
148,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Networking,Level 3
149,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Organisational Analysis,Level 4
150,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Organisational Design,Level 4
151,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Partnership Management,Level 4
152,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Performance Management,Level 4
153,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Process Improvement and Optimisation,Level 4
154,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Project Management,Level 4
155,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Software Testing,Level 3
156,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Solution Architecture,Level 4
157,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Stakeholder Management ,Level 4
158,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Strategy Implementation,Level 3
159,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,System Integration,Level 4
160,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Technical Sales Support,Level 3
161,Map_Top_5_CCS/1. Strategy and Governance/,Business Analyst-AI Translator,Test Planning,Level 3
162,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Agile Coaching,Level 5
163,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Agile Software Development,Level 5
164,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Applications Development,Level 5
165,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Budgeting,Level 5
166,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Business Agility,Level 5
167,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Business Needs Analysis,Level 5
168,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Business Performance Management,Level 5
169,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Failure Analysis,Level 5
170,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Learning and Development,Level 6
171,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Manpower Planning,Level 5
172,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Networking,Level 5
173,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Partnership Management,Level 5
174,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,People and Performance Management,Level 5
175,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Performance Management,Level 5
176,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Product Management,Level 5
177,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Problem Management,Level 5
178,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Process Improvement and Optimisation,Level 5
179,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Process Validation,Level 5
180,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Project Management,Level 5
181,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Quality Assurance,Level 5
182,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Quality Engineering,Level 5
183,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Quality Standards,Level 6
184,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Software Design,Level 6
185,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Software Testing,Level 4
186,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Stakeholder Management,Level 5
187,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Strategy Planning,Level 5
188,Map_Top_5_CCS/1. Strategy and Governance/,Head of Quality,Test Planning,Level 5
189,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Brand Management,Level 3
190,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Budgeting,Level 3
191,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Business Needs Analysis,Level 2
192,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Business Performance Management,Level 3
193,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Business Requirements Mapping,Level 3
194,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Customer Experience Management,Level 2
195,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Design Thinking Practice,Level 3
196,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Market Research,Level 2
197,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Process Improvement and Optimisation,Level 3
198,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Product Management,Level 3
199,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Stakeholder Management,Level 2
200,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,Test Planning,Level 2
201,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,User Experience Design,Level 2
202,Map_Top_5_CCS/1. Strategy and Governance/,Associate UX Designer,User Testing and Usability Testing,Level 3
203,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Applications Development,Level 3
204,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Budgeting,Level 3
205,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Business Needs Analysis,Level 3
206,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Business Performance Management,Level 3
207,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Configuration Tracking,Level 1
208,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Networking,Level 3
209,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Partnership Management,Level 3
210,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Problem Management,Level 3
211,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Process Improvement and Optimisation,Level 3
212,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Project Management ,Level 3
213,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Quality Assurance,Level 3
214,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Quality Standards,Level 4
215,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Software Design,Level 3
216,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Software Testing,Level 2
217,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Stakeholder Management,Level 2
218,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Strategy Implementation,Level 3
219,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Engineer,Test Planning,Level 2
220,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Brand Management,Level 5
221,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Budgeting,Level 4
222,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Business Innovation,Level 5
223,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Business Needs Analysis,Level 4
224,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Business Performance Management,Level 4
225,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Business Requirements Mapping,Level 5
226,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Customer Experience Management,Level 4
227,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Design Thinking Practice,Level 4
228,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Learning and Development,Level 4
229,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Manpower Planning,Level 3
230,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Market Research,Level 4
231,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Networking,Level 4
232,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,People and Performance Management,Level 3
233,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Process Improvement and Optimisation,Level 5
234,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Product Management,Level 5
235,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Project Management,Level 5
236,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Solution Architecture,Level 4
237,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Stakeholder Management,Level 5
238,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Strategy Implementation,Level 3
239,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Strategy Planning,Level 4
240,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,Test Planning,Level 5
241,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,User Experience Design,Level 4
242,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,User Interface Design,Level 4
243,Map_Top_5_CCS/1. Strategy and Governance/,Lead UX Designer,User Testing and Usability Testing,Level 5
244,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Applications Development,Level 4
245,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Budgeting ,Level 4
246,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Business Agility,Level 4
247,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Business Needs Analysis,Level 4
248,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Business Performance Management,Level 4
249,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Configuration Tracking,Level 3
250,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Learning and Development ,Level 5
251,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Manpower Planning ,Level 4
252,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Networking ,Level 4
253,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Partnership Management,Level 4
254,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,People and Performance Management,Level 4
255,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Performance Management,Level 4
256,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Problem Management,Level 4
257,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Process Improvement and Optimisation,Level 4
258,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Project Management ,Level 4
259,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Quality Assurance,Level 4
260,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Quality Engineering,Level 4
261,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Quality Standards,Level 5
262,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Software Design,Level 4
263,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Software Testing,Level  4
264,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Stakeholder Management,Level 4
265,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Strategy Implementation,Level 4
266,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Strategy Planning,Level 4
267,Map_Top_5_CCS/1. Strategy and Governance/,Quality Assurance Manager,Test Planning,Level 4
268,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Audit and Compliance,Level 4
269,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Budgeting,Level 4
270,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Business Performance Management,Level 4
271,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Business Risk Management,Level 4
272,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Data Analytics,Level 4
273,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Data Governance,Level 4
274,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,IT Governance,Level 4
275,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,IT Standards,Level 4
276,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,IT Strategy,Level 4
277,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Learning and Development ,Level 5
278,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Manpower Planning ,Level 4
279,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Networking ,Level 4
280,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Partnership Management,Level 4
281,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,People and Performance Management,Level 4
282,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Process Improvement and Optimisation,Level 4
283,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Quality Standards,Level 4
284,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Security Governance ,Level 4
285,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Stakeholder Management,Level 4
286,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Strategy Implementation,Level 4
287,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Strategy Planning ,Level 4
288,Map_Top_5_CCS/1. Strategy and Governance/,IT Audit Manager,Sustainability Management,Level 4
289,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Business Environment Analysis,Level 2
290,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Business Needs Analysis,Level 2
291,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Business Requirements Mapping,Level 3
292,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Change Management,Level 3
293,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Data Visualisation,Level 3
294,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Partnership Management,Level 3
295,Map_Top_5_CCS/1. Strategy and Governance/,Associate Business Analyst,Process Improvement and Optimisation,Level 3
